	Control_1	Control_2	Control_3	Treatment_1	Treatment_2	Treatment_3
GENE_0118	540.0	380.0	560.0	390.0	90.0	280.0
GENE_0119	650.0	610.0	660.0	540.0	380.0	740.0
GENE_0120	160.0	190.0	370.0	540.0	340.0	200.0
GENE_0121	1020.0	870.0	990.0	270.0	470.0	520.0
GENE_0122	200.0	510.0	320.0	1047.653445530166	1075.8472556412223	330.0
GENE_0123	460.0	240.0	300.0	730.0	810.0	240.0
GENE_0124	300.0	380.0	270.0	630.0	580.0	110.0
GENE_0125	460.0	610.0	800.0	270.0	510.0	470.0
GENE_0126	290.0	220.0	320.0	300.0	180.0	750.0
GENE_0127	230.0	510.0	680.0	340.0	710.0	540.0
GENE_0128	230.0	170.0	510.0	240.0	982.7986610583492	600.0
GENE_0129	1020.0	660.0	510.0	330.0	950.0	480.0
GENE_0130	300.0	430.0	580.0	790.0	360.0	220.0
GENE_0131	480.0	1070.0	260.0	220.0	810.0	180.0
GENE_0132	610.0	300.0	530.0	150.0	340.0	490.0
GENE_0133	760.0	290.0	600.0	210.0	228.4556745401063	640.0
GENE_0134	370.0	400.0	240.0	450.0	650.0	440.0
GENE_0135	340.0	430.0	560.0	330.0	230.0	570.0
GENE_0136	210.0	260.0	230.0	310.0	460.0	810.0
GENE_0137	840.0	240.0	270.0	500.0	1964.0179661159277	380.0
GENE_0138	640.0	410.0	560.0	460.0	660.0	390.0
GENE_0139	230.0	250.0	80.0	180.0	400.0	540.0
GENE_0140	400.0	630.0	480.0	360.0	210.0	450.0
GENE_0141	270.0	250.0	340.0	730.0	390.0	767.4587696570512
GENE_0142	230.0	500.0	140.0	490.0	570.0	500.0
GENE_0143	560.0	370.0	290.0	560.0	630.0	390.0
GENE_0144	340.0	720.0	690.0	310.0	440.0	500.0
GENE_0145	390.0	650.0	270.0	98.12567693222347	200.0	570.0
GENE_0146	540.0	380.0	350.0	120.21720668935535	473.57863417933504	412.7849306705566
GENE_0147	190.0	420.0	440.0	370.0	730.0	220.0
GENE_0148	350.0	310.0	750.0	420.0	855.599287498065	420.0
GENE_0149	230.0	40.0	100.0	460.0	430.0	370.0
GENE_0150	390.0	380.0	270.0	650.0	210.0	1320.0
GENE_0151	630.0	600.0	770.0	610.0	220.0	730.0
GENE_0152	170.0	690.0	620.0	220.0	340.0	690.0
GENE_0153	510.0	430.0	400.0	650.0	480.0	854.8050845181094
GENE_0154	330.0	530.0	460.0	260.0	260.0	220.0
GENE_0155	510.0	390.0	300.0	440.0	170.0	510.0
GENE_0156	320.0	410.0	530.0	740.0	230.0	440.0
GENE_0157	110.0	310.0	150.0	520.0	660.0	260.0
GENE_0158	230.0	300.0	390.0	820.0	190.0	210.0
GENE_0159	600.0	640.0	570.0	600.0	360.0	130.0
GENE_0160	490.0	340.0	660.0	500.0	380.0	440.0
GENE_0161	620.0	790.0	880.0	240.0	520.0	140.0
GENE_0162	950.0	470.0	480.0	460.0	170.0	620.0
GENE_0163	520.0	840.0	410.0	420.0	160.0	480.0
GENE_0164	250.0	350.0	490.0	230.0	200.0	500.0
GENE_0165	300.0	320.0	180.0	220.0	220.0	590.0
GENE_0166	290.0	160.0	640.0	840.0	600.0	550.0
GENE_0167	470.0	580.0	400.0	350.0	360.0	600.0
GENE_0168	920.0	290.0	780.0	220.0	500.0	380.0
GENE_0169	580.0	770.0	530.0	370.0	113.08373146934971	440.0
GENE_0170	530.0	680.0	80.0	340.0	1332.2722006795973	930.0
GENE_0171	430.0	260.0	810.0	230.0	230.0	1300.0
GENE_0172	450.0	260.0	640.0	350.0	270.0	1040.0
GENE_0173	310.0	320.0	350.0	270.0	370.0	310.0
GENE_0174	480.0	750.0	500.0	190.0	490.0	110.0
GENE_0175	150.0	410.0	1220.0	260.0	350.0	420.0
GENE_0176	750.0	290.0	370.0	63.28731016724757	200.0	620.0
GENE_0177	570.0	300.0	330.0	560.0	400.0	250.0
GENE_0178	380.0	400.0	510.0	200.0	170.0	750.0
GENE_0179	360.0	590.0	410.0	420.0	380.0	470.0
GENE_0180	380.0	210.0	300.0	460.0	320.0	315.2054867938034
GENE_0181	390.0	450.0	200.0	130.0	210.0	810.0
GENE_0182	190.0	210.0	110.0	360.0	710.0	640.0
GENE_0183	290.0	270.0	510.0	520.0	370.0	735.5084642290319
GENE_0184	330.0	610.0	210.0	1422.8432541048846	270.0	510.0
GENE_0185	890.0	530.0	360.0	290.0	280.0	1060.0
GENE_0186	150.0	470.0	600.0	470.0	710.0	220.0
GENE_0187	560.0	290.0	110.0	356.2309196504265	390.0	560.0
GENE_0188	800.0	460.0	270.0	340.0	350.0	410.0
GENE_0189	180.0	700.0	440.0	360.0	188.72969981895696	400.0
GENE_0190	660.0	500.0	330.0	620.0	330.0	490.0
GENE_0191	320.0	350.0	450.0	130.0	580.0	530.0
GENE_0192	480.0	690.0	350.0	308.38614078708673	1085.2294141786617	276.16591333456137
GENE_0193	590.0	330.0	600.0	670.0	240.0	680.0
GENE_0194	180.0	720.0	250.0	180.0	390.0	540.0
GENE_0195	170.0	970.0	350.0	760.0	500.0	235.153457508437
GENE_0196	610.0	540.0	380.0	170.0	540.0	927.0713548308045
GENE_0197	470.0	460.0	390.0	350.0	370.0	360.0
GENE_0198	610.0	350.0	310.0	1006.1180893251958	210.0	648.1530853470219
GENE_0199	210.0	440.0	320.0	270.0	620.0	410.0
GENE_0200	470.0	400.0	400.0	910.0	620.0	720.0
GENE_0201	580.0	330.0	260.0	700.0	620.0	270.0
GENE_0202	220.0	260.0	530.0	730.0	250.0	1410.07298877864
GENE_0203	990.0	250.0	250.0	480.0	510.0	470.0
GENE_0204	650.0	490.0	520.0	947.0185123956428	640.0	620.0
GENE_0205	550.0	570.0	240.0	300.0	430.0	340.0
GENE_0206	260.0	380.0	110.0	650.0	190.0	520.0
GENE_0207	250.0	490.0	150.0	310.0	220.0	500.0
GENE_0208	720.0	550.0	300.0	410.0	380.0	860.0
GENE_0209	330.0	180.0	640.0	823.3118097420585	450.0	490.0
GENE_0210	350.0	470.0	470.0	230.0	600.0	620.0
GENE_0211	400.0	290.0	600.0	500.0	530.0	180.0
GENE_0212	960.0	100.0	430.0	740.0	220.0	380.0
GENE_0213	540.0	160.0	640.0	1080.0	400.0	320.0
GENE_0214	240.0	350.0	500.0	1030.0	500.0	480.0
GENE_0215	630.0	400.0	260.0	880.0	570.0	210.0
GENE_0216	840.0	450.0	310.0	560.0	940.0	690.0
GENE_0217	520.0	400.0	740.0	140.0	270.0	460.0
GENE_0218	500.0	190.0	230.0	250.0	350.0	320.0
GENE_0219	490.0	220.0	610.0	470.0	460.5789099640789	405.51951747160723
GENE_0220	500.0	130.0	250.0	400.0	440.0	270.0
GENE_0221	510.0	970.0	170.0	660.0	490.0	640.0
GENE_0222	340.0	320.0	280.0	280.0	107.24159412991101	350.0
GENE_0223	680.0	570.0	270.0	809.7882914627129	360.0	163.94317425701948
GENE_0224	250.0	370.0	90.0	240.0	330.0	610.0
GENE_0225	410.0	410.0	560.0	400.0	50.0	262.0912254410577
GENE_0226	660.0	310.0	340.0	320.0	820.0	320.0
GENE_0227	380.0	910.0	320.0	510.0	490.0	520.0
GENE_0228	730.0	660.0	350.0	570.0	470.0	710.0
GENE_0229	240.0	390.0	390.0	600.0	250.0	390.0
GENE_0230	340.0	230.0	420.0	500.0	310.0	480.0
GENE_0231	630.0	250.0	570.0	510.0	60.0	480.0
GENE_0232	510.0	650.0	910.0	320.0	1209.767178277156	670.0
GENE_0233	400.0	610.0	420.0	260.0	420.0	750.0
GENE_0234	1190.0	370.0	500.0	800.0	770.0	570.0
GENE_0235	660.0	350.0	830.0	450.0	570.0	380.0
GENE_0236	270.0	660.0	340.0	730.0	144.6022494801511	620.0
GENE_0237	920.0	490.0	2090.0	530.0	590.0	270.0
GENE_0238	990.0	390.0	680.0	189.2494892623306	750.0	490.0
GENE_0239	540.0	400.0	210.0	600.0	350.0	660.0
GENE_0240	1010.0	800.0	380.0	720.0	840.0	500.0
GENE_0241	330.0	410.0	980.0	230.0	320.0	630.0
GENE_0242	540.0	700.0	310.0	250.0	270.0	681.8538867577196
GENE_0243	670.0	300.0	230.0	130.0	670.0	870.0
GENE_0244	1000.0	600.0	140.0	500.0	460.0	300.0
GENE_0245	640.0	400.0	460.0	350.0	740.0	230.0
GENE_0246	620.0	250.0	220.0	470.0	1363.8499380733238	660.0
GENE_0247	440.0	260.0	690.0	760.0	112.4463445800563	350.0
GENE_0248	520.0	640.0	360.0	130.0	230.0	820.0
GENE_0249	410.0	520.0	640.0	444.1395219253695	950.0	310.0
GENE_0250	490.0	190.0	480.0	700.0	890.0	330.0
GENE_0251	440.0	390.0	370.0	380.0	540.0	290.0
GENE_0252	860.0	560.0	960.0	220.0	1258.2732195969309	2493.527403365899
GENE_0253	680.0	720.0	310.0	260.0	440.0	780.0
GENE_0254	290.0	200.0	250.0	490.0	490.0	520.0
GENE_0255	790.0	440.0	160.0	730.0	500.0	700.0
GENE_0256	390.0	650.0	280.0	540.0	700.0	1330.0
GENE_0257	450.0	330.0	360.0	500.0	430.0	360.0
GENE_0258	360.0	760.0	170.0	90.0	200.0	470.0
GENE_0259	590.0	510.0	330.0	190.0	620.0	980.0
GENE_0260	490.0	380.0	570.0	830.0	420.0	100.0
GENE_0261	260.0	910.0	210.0	1902.7331192289028	280.0	630.0
GENE_0262	840.0	660.0	200.0	680.0	310.0	373.1551450176309
GENE_0263	460.0	590.0	430.0	630.0	360.0	440.0
GENE_0264	620.0	220.0	270.0	370.0	120.0	300.0
GENE_0265	430.0	200.0	240.0	600.0	270.0	330.0
GENE_0266	170.0	410.0	170.0	280.0	500.0	440.0
GENE_0267	300.0	490.0	320.0	840.0	310.0	450.0
GENE_0268	130.0	350.0	580.0	396.9500015851848	590.0	310.0
GENE_0269	260.0	80.0	380.0	500.0	2147.6813508452765	380.0
GENE_0270	420.0	670.0	610.0	380.0	160.0	725.0566248347178
GENE_0271	430.0	690.0	320.0	280.0	280.0	220.0
GENE_0272	120.0	310.0	690.0	150.0	260.0	760.0
GENE_0273	780.0	170.0	570.0	770.0	700.0	620.0
GENE_0274	590.0	650.0	150.0	1747.3352834128734	1060.0	413.3680177824742
GENE_0275	520.0	660.0	760.0	510.0	210.0	520.0
GENE_0276	280.0	310.0	360.0	660.0	160.0	240.0
GENE_0277	770.0	240.0	180.0	490.0	180.0	640.0
GENE_0278	340.0	630.0	430.0	600.0	720.0	1536.2039686476214
GENE_0279	280.0	100.0	520.0	490.0	730.0	1397.43270450968
GENE_0280	360.0	210.0	270.0	580.0	530.0	250.0
GENE_0281	890.0	580.0	400.0	710.0	350.0	710.0
GENE_0282	380.0	800.0	400.0	460.0	490.0	620.0
GENE_0283	410.0	470.0	450.0	370.0	290.0	560.0
GENE_0284	150.0	730.0	340.0	670.0	330.0	420.0
GENE_0285	510.0	440.0	330.0	790.0	360.0	210.0
GENE_0286	780.0	880.0	520.0	760.0	180.0	660.0
GENE_0287	490.0	640.0	970.0	890.0	70.0	160.0
GENE_0288	210.0	500.0	880.0	390.0	210.0	364.9951358896348
GENE_0289	450.0	420.0	860.0	230.73843817786678	580.0	1053.6308250322827
GENE_0290	420.0	720.0	470.0	740.0	136.3889894392457	740.0
GENE_0291	610.0	140.0	520.0	740.0	610.0	610.0
GENE_0292	80.0	460.0	270.0	570.0	440.0	430.0
GENE_0293	120.0	470.0	330.0	110.0	243.89774508583366	380.0
GENE_0294	510.0	710.0	670.0	500.0	250.0	480.0
GENE_0295	630.0	410.0	310.0	460.0	220.0	589.5905461232559
GENE_0296	580.0	300.0	400.0	922.8648392972212	590.0	770.0
GENE_0297	260.0	310.0	650.0	990.0	390.0	180.0
GENE_0298	400.0	250.0	950.0	440.0	300.0	420.0
GENE_0299	340.0	270.0	140.0	420.0	1049.7850455483976	450.0
GENE_0300	420.0	550.0	220.0	240.0	660.0	202.38909509300888
GENE_0301	240.0	1200.0	280.0	280.0	270.0	682.7365312224114
GENE_0302	390.0	500.0	550.0	230.0	460.0	240.0
GENE_0303	710.0	360.0	410.0	876.206833933006	440.0	460.0
GENE_0304	420.0	630.0	310.0	400.0	590.0	610.0
GENE_0305	680.0	370.0	870.0	800.0	360.0	460.0
GENE_0306	520.0	230.0	340.0	340.0	650.0	750.0
GENE_0307	300.0	270.0	870.0	250.0	200.0	700.0
GENE_0308	460.0	670.0	420.0	250.0	320.0	420.0
GENE_0309	740.0	480.0	710.0	300.0	250.0	620.0
GENE_0310	440.0	320.0	300.0	250.0	250.0	210.0
GENE_0311	200.0	270.0	440.0	380.0	330.0	128.0970250073566
GENE_0312	160.0	180.0	440.0	340.0	170.0	480.0
GENE_0313	480.0	930.0	290.0	135.99841150465716	550.0	280.0
GENE_0314	370.0	280.0	470.0	320.0	250.0	280.0
GENE_0315	320.0	400.0	260.0	570.0	560.0	670.0
GENE_0316	420.0	200.0	780.0	420.0	1079.7089420484535	240.0
GENE_0317	750.0	400.0	780.0	470.0	2216.463667040362	600.0
GENE_0318	650.0	880.0	240.0	224.08912408179333	408.7744751943653	640.0
GENE_0319	380.0	300.0	380.0	550.0	300.0	420.0
GENE_0320	490.0	710.0	150.0	640.0	350.0	840.0
GENE_0321	170.0	670.0	380.0	540.0	165.33262272760834	270.0
GENE_0322	400.0	970.0	310.0	280.0	470.0	120.0
GENE_0323	290.0	420.0	210.0	270.0	590.0	600.0
GENE_0324	530.0	200.0	210.0	150.0	840.0	470.0
GENE_0325	440.0	880.0	550.0	720.0	234.41404882112062	250.0
GENE_0326	520.0	430.0	180.0	400.0	220.0	400.0
GENE_0327	490.0	430.0	570.0	450.0	1060.0	430.0
GENE_0328	180.0	710.0	200.0	570.0	590.0	157.76939438324467
GENE_0329	920.0	1000.0	550.0	330.0	340.0	940.0
GENE_0330	220.0	410.0	540.0	380.0	520.0	890.0
GENE_0331	370.0	920.0	290.0	1943.5750308732502	98.17058349880023	220.0
GENE_0332	490.0	540.0	380.0	450.0	690.0	220.0
GENE_0333	520.0	640.0	440.0	280.0	470.0	180.0
GENE_0334	460.0	460.0	840.0	280.0	340.0	400.0
GENE_0335	430.0	420.0	300.0	290.0	580.0	550.0
GENE_0336	410.0	300.0	900.0	1320.1340890283043	400.0	620.0
GENE_0337	150.0	1570.0	500.0	320.0	910.0	730.0
GENE_0338	350.0	570.0	710.0	370.0	390.0	800.0
GENE_0339	660.0	160.0	280.0	230.0	160.0	110.0
GENE_0340	470.0	340.0	680.0	556.6959963652025	1152.268154430772	260.0
GENE_0341	380.0	510.0	970.0	420.0	530.0	640.0
GENE_0342	910.0	610.0	450.0	150.0	440.0	630.0
GENE_0343	310.0	720.0	390.0	370.0	460.0	380.0
GENE_0344	380.0	590.0	280.0	270.0	190.0	540.0
GENE_0345	440.0	480.0	520.0	700.0	310.0	400.0
GENE_0346	650.0	790.0	510.0	440.0	270.0	710.0
GENE_0347	470.0	420.0	550.0	480.0	120.0	390.0
GENE_0348	690.0	560.0	360.0	200.0	590.0	490.0
GENE_0349	290.0	320.0	70.0	320.0	290.0	410.0
GENE_0350	230.0	700.0	370.0	150.0	420.0	290.0
GENE_0351	390.0	710.0	570.0	460.0	420.0	780.0
GENE_0352	670.0	360.0	700.0	550.0	140.0	450.0
GENE_0353	270.0	420.0	490.0	450.0	410.0	510.0
GENE_0354	730.0	490.0	450.0	60.86795171959318	1081.293260779715	450.0
GENE_0355	290.0	670.0	630.0	350.0	260.0	90.0
GENE_0356	390.0	650.0	470.0	304.49025532105117	150.0	310.0
GENE_0357	480.0	280.0	370.0	136.62807822559608	30.78287829241037	410.0
GENE_0358	330.0	440.0	270.0	270.0	490.0	240.0
GENE_0359	450.0	540.0	280.0	2180.0833199375397	180.0	700.0
GENE_0360	210.0	360.0	440.0	720.0	320.0	960.0
GENE_0361	280.0	520.0	970.0	780.0	260.0	121.34394269752285
GENE_0362	230.0	150.0	180.0	220.0	230.0	590.0
GENE_0363	190.0	450.0	870.0	827.8204442299858	670.0	390.0
GENE_0364	740.0	660.0	140.0	250.0	710.0	320.0
GENE_0365	390.0	280.0	360.0	360.0	250.0	470.0
GENE_0366	230.0	610.0	420.0	180.0	300.0	760.0
GENE_0367	620.0	360.0	180.0	160.0	460.0	326.13611762777515
GENE_0368	280.0	420.0	660.0	497.48541725969795	480.0	1138.5119960007048
GENE_0369	80.0	450.0	210.0	1338.48104300692	650.0	390.0
GENE_0370	910.0	400.0	460.0	170.0	670.0	340.0
GENE_0371	110.0	550.0	770.0	1455.4367733304025	390.0	120.0
GENE_0372	310.0	730.0	450.0	400.0	300.0	500.0
GENE_0373	170.0	220.0	410.0	450.0	540.0	1756.8924434256814
GENE_0374	430.0	300.0	280.0	350.0	280.0	650.0
GENE_0375	240.0	170.0	580.0	440.0	350.0	720.0
GENE_0376	490.0	440.0	440.0	100.0	510.0	1358.0067258943052
GENE_0377	340.0	250.0	110.0	420.0	50.0	887.4009828205818
GENE_0378	380.0	270.0	300.0	74.43868634836447	1575.3182494151133	220.0
GENE_0379	280.0	290.0	100.0	790.0	290.0	260.0
GENE_0380	140.0	380.0	620.0	690.0	330.0	450.0
GENE_0381	250.0	640.0	440.0	580.0	380.0	450.0
GENE_0382	590.0	300.0	270.0	410.0	430.0	480.0
GENE_0383	510.0	350.0	230.0	640.0	420.0	560.0
GENE_0384	280.0	490.0	260.0	480.0	600.0	540.0
GENE_0385	480.0	720.0	580.0	250.0	500.0	340.0
GENE_0386	480.0	490.0	430.0	280.0	250.0	180.0
GENE_0387	250.0	190.0	320.0	280.0	540.0	430.0
GENE_0388	160.0	350.0	590.0	520.0	420.0	750.0
GENE_0389	600.0	620.0	580.0	205.87426699549297	300.0	500.0
GENE_0390	470.0	380.0	230.0	560.5281186590436	1817.9103254913023	250.0
GENE_0391	530.0	710.0	440.0	2028.6727864312381	390.3819959520357	370.0
GENE_0392	730.0	1000.0	460.0	390.0	630.0	230.0
GENE_0393	470.0	430.0	380.0	580.0	850.0	340.0
GENE_0394	480.0	420.0	390.0	1070.6119350035058	440.0	510.0
GENE_0395	980.0	300.0	790.0	550.0	960.0	570.0
GENE_0396	770.0	630.0	310.0	240.0	500.0	290.0
GENE_0397	220.0	490.0	260.0	2155.922433326933	450.0	400.0
GENE_0398	450.0	420.0	200.0	1178.4297176955074	270.0	582.0020676110714
GENE_0399	540.0	330.0	570.0	88.25874277535992	770.0	1891.1481140142828
GENE_0400	730.0	760.0	680.0	390.0	260.0	180.0
GENE_0401	330.0	490.0	640.0	460.0	350.0	1640.4353866043414
GENE_0402	290.0	480.0	430.0	690.0	520.0	400.0
GENE_0403	870.0	320.0	410.0	320.0	550.0	660.0
GENE_0404	200.0	860.0	270.0	170.0	390.0	430.0
GENE_0405	1040.0	370.0	360.0	150.0	670.0	390.0
GENE_0406	380.0	170.0	920.0	250.0	510.0	390.0
GENE_0407	310.0	330.0	200.0	260.0	1261.8562064913015	825.7466808773677
GENE_0408	560.0	500.0	340.0	1829.4347035137264	1060.0	1168.6494836245733
GENE_0409	620.0	400.0	1050.0	360.0	150.0	800.0
GENE_0410	550.0	640.0	490.0	300.0	772.1451625266246	280.0
GENE_0411	550.0	280.0	1160.0	300.0	1646.0084896845058	280.0
GENE_0412	250.0	350.0	540.0	480.0	530.0	1210.8289291709693
GENE_0413	700.0	410.0	370.0	350.0	880.4981248389968	390.0
GENE_0414	340.0	920.0	130.0	398.0851071865393	280.0	688.0816674339671
GENE_0415	290.0	470.0	750.0	380.0	440.0	510.0
GENE_0416	570.0	360.0	840.0	460.0	470.0	250.0
GENE_0417	340.0	660.0	500.0	720.0	430.0	420.0
GENE_0418	380.0	360.0	260.0	320.0	480.0	610.0
GENE_0419	70.0	700.0	690.0	440.0	460.0	951.290678616793
GENE_0420	350.0	340.0	810.0	480.0	510.0	390.0
GENE_0421	440.0	310.0	390.0	660.0	640.0	450.0
GENE_0422	430.0	450.0	590.0	260.0	540.0	610.0
GENE_0423	420.0	350.0	460.0	270.0	350.0	400.0
GENE_0424	400.0	320.0	340.0	700.0	390.0	670.0
